	Arg	gold
1971	least 17 people dead wuhancoronavirus abou	wuhan virus
1972	least 17 people infected hundred	17 people infected 540
1973	least 17 people sickened 500 fueled fe	least 17 people sickened 500 fueled fe
1974	least 3 perso	least 3 perso
1975	least four cities	three cities
1976	least six pe	least six pe
1977	leave	leave
1978	leave city starting 10 a.m. jan . 23 . train stations	leave city starting 10 a.m. jan . 23 . train stations
1979	leave starting 23 jan 10 am the	leave starting 23 jan 10 am the
1980	leave wuhan	avoid wuhan
1981	leaving	leave
1982	legislation addresses	legislation addresses
1983	less 10 percent people get	less 10 percent people get
1984	lesson	learned experience f
1985	lethal viruses	lethal viruses
1986	level 3	level 3
1987	level 3 travel warning	level 3 travel warning
1988	levels seen since s	levels seen since s
1989	life	death
1990	light devastating epidemic	light devastating epidemic
1991	lik	lik
1992	like e - scooter epidemic	like e - scooter epidemic
1993	like great topic discussion tonight 's show	like great topic discussion tonight 's show
1994	like it 'll kills less 10 percent people get it	like it 'll kills less 10 percent people get it
1995	like new drug war	like new drug war
1996	like post - apocalyptic movies	like post - apocalyptic movies
1997	like the end of the world	like the end of the world
1998	limited person - to - person spread new coronavirus asia	limited person - to - person spread new coronavirus asia
1999	line qna @dkpghsports today	line qna @dkpghsports today
2000	lingering worries about coronavirus outbreak	fears coronavirus outbreak
2001	linked article @epa @cdcgov	linked article @epa @cdcgov
2002	little bit personalize epidemic bc	little bit personalize epidemic bc
2003	little misleading	little misleading
2004	little tour shanghai ’s disneyland	little tour shanghai ’s disneyland
2005	little wednesdaywisdom	little wednesdaywisdom
2006	live florida	live florida
2007	live koala	koalas
2008	live koalas	koalas
2009	live koalas peacocks wolf	live koalas peacocks wolf
2010	live koalas peacocks wolf pups 100 wild animals sale	100 wild animals sale
2011	live updates china locked wuhan major port city	live updates china locked wuhan major port city
2012	lives	death
2013	lives 2 337 americans	lives 2 337 americans
2014	lives america have n’t changed one iota since trump took office	lives america have n’t changed one iota since trump took office
2015	lives w	lives w
2016	livestock wild animals	livestock wild animals
2017	living life involvement	living life involvement
2018	living wuhan	city wuhan
2019	loans med peds i d	loans med peds i d
2020	local citizen	local citizen
2021	local federal partners	local federal partners
2022	local federal partners respond novel coronavirus 2019-ncov first identifi	suspected case 2019 novel coronavirus
2023	local hospital waiting line	hospitals
2024	local market	local market
2025	local population 's diet	local population 's diet
2026	local residents friend	local citizen
2027	local state fed govt bankers run jews	local state fed govt bankers run jews
2028	local state resources	local federal partners
2029	locations	locations
2030	lock	lockdown
2031	lock - down authorities	lock - down authorities
2032	lock - down three cities	lock - down three cities
2033	lockdown	lockdown
2034	lockdown 2 cities	lock - down three cities
2035	lockdown army camp nope wwi important	lockdown army camp nope wwi important
2036	lockdown coronavirus	areas affected coronavirus
2037	lockdown coronavirus death toll doubles	17 people confirmed dead coronavirus outbreak.⁣
2038	lockdown major city stop	city coping lockdown th
2039	lockdown wuhan city bigger population london new york	huanggang next wuhan population 7 million shut transportatio
2040	locusts	locusts
2041	logan airport	logan airport
2042	london	london
2043	long	long
2044	long - distance shuttle buses city wuhan	long - distance shuttle buses city wuhan
2045	long flu	dyk flu virus
2046	look cebu pacific	look cebu pacific
2047	look techniques tackle vaping epidemic	look techniques tackle vaping epidemic
2048	loss life	loss life
2049	losses	losses
2050	lot	lot
2051	lot young people	people
2052	lots	lot
2053	lots people free world dictatorship envy	lots people free world dictatorship envy
2054	lots qu	lot
2055	lovely hongkong protesters r lihkg	lovely hongkong protesters r lihkg
2056	low key hoping outbreak	low key hoping outbreak
2057	lunar new year	large public gatherings lunar new ye
2058	lunar new year celebrations	large public gatherings lunar new ye
2059	lunar new year events	large public gatherings lunar new ye
2060	lunar new year festivities canceled “ due wuhan	lunar new year festivities canceled “ due wuhan
2061	lunarnewyear celebrations	large public gatherings lunar new ye
2062	lunarnewyear celebrations canceled fears mount	lunarnewyear celebrations canceled fears mount
2063	lust eyes western journalists ' china watchers '	lust eyes western journalists ' china watchers '
2064	lust eyes western journalists ' china watchers ' - yearning large - scal	lust eyes western journalists ' china watchers '
2065	macao ’s government tourism office	macao ’s government tourism office
2066	macau	macau
2067	macau - government pharmacies	macau - government pharmacies
2068	macau tourism bureau	macao ’s government tourism office
2069	main airports aware situation	main airports aware situation
2070	mainstream media china	chinese media
2071	major	major
2072	major chinese new year events	all large - scale chinese new year celebrations canceled beijing try
2073	major cities china including beijing shanghai hong kong sever	additional cities beyond wuhan
2074	major hospitals consultations	major hospitals consultations
2075	major hospitals wuhan fallen	several wuhan hospitals
2076	major travel disruptions	major travel disruptions
2077	major travel disruptions china coronavirus	wuhan coronavirus
2078	majority time	majority time
2079	make billio	make billio
2080	make po	make po
2081	make residents aware coronavirus information resource	make residents aware coronavirus information resource
2082	make vaccines	vaccines
2083	makeup	makeup
2084	man	man
2085	man movie contagion	man movie contagion
2086	man ok worry philippines due conditions there	man ok worry philippines due conditions there
2087	man state queensland	man state queensland
2088	man traveler china	man traveler china
2089	man waiting outside hospital apparently infected novel	man waiting outside hospital apparently infected novel
2090	many	hundreds
2091	many 4 000 9 700 people could	many 4 000 9 700 people could
2092	many anomalies	many anomalies
2093	many cases sick people	many cases sick people
2094	many cities like it	many cities like it
2095	many communities grieving aftermath gun	many communities grieving aftermath gun
2096	many epidemics	epidemic
2097	many initial cases large seafood market wuhan city	many initial cases large seafood market wuhan city
2098	many patients	170 patients related novel
2099	many people	people
2100	many people infected died coronavirus	17 people confirmed dead coronavirus outbreak.⁣
2101	many people may get killed	many people may get killed
2102	many sick people	many sick people
2103	map	map
2104	map tracking real time coronavirus outbreak china sicke	map tracking real time coronavirus outbreak china sicke
2105	mapping tool	map
2106	mark health	mark health
2107	marketing	marketing
2108	mask	masks
2109	mask stay	masks
2110	masks	masks
2111	masks wash hands	masks wash hands
2112	mass exodus wuhan citizens	mass exodus wuhan citizens
2113	massive lunar new year gatherings usually	large public gatherings lunar new ye
2114	me	me
2115	measles	dying measles
2116	measures	measures
2117	measures prevent spread new coronavirus originated	contain coronavirus
2118	meat	meat
2119	meat various wild animals	consumption wild animals
2120	media	media
2121	media outlet influencer	media outlet influencer
2122	medical advice	medical advice
2123	medical assistance	hospitals
2124	medical facemasks hand sanitizer	disinfectants
2125	medical personnel talking wuhancoronavirus	first case wuhancoronavirus
2126	medical staff video hospital wuhan	several wuhan hospitals
2127	medicare program	medicare program
2128	medicine	meds
2129	medicine reduce temperature avoid airport checks coronavirus	medicine reduce temperature avoid airport checks coronavirus
2130	medicines	meds
2131	meds	meds
2132	medscape	medscape
2133	member international community	member international community
2134	meme protest social media mass censorship going china wuhan	meme protest social media mass censorship going china wuhan
2135	memorial plaques	memorial plaques
2136	memorial plaques sacrificed lives w	memorial plaques sacrificed lives w
2137	merck	ex - pharma merck - exec
2138	message	message
2139	message from dr savage quarantine	message from dr savage quarantine
2140	message wechat going viral	message wechat going viral
2141	methadone 1 key medications opioid use disorder	methadone 1 key medications opioid use disorder
2142	methadone 1 key medications opioid use disorder helps dramatically reduce patient	methadone 1 key medications opioid use disorder
2143	mexico	mexico
2144	mexico	mexico
2145	mexico us	the u.s .
2146	mfs	mfs
2147	miasmat	miasmat
2148	michael	michael
2149	michelin - restaurant bragged	michelin - restaurant bragged
2150	microbial communities landfills	microbial communities landfills
2151	midde sars - like virus	sars
2152	middle intersection	middle intersection
2153	middle street	city street
2154	middleton	middleton
2155	millions	hundreds
2156	millions dollars	amount
2157	millions dollars needed fight virus	millions dollars needed fight virus
2158	millions lives	countless lives
2159	mindless fear	mindless fear
2160	minnesota experts	expert
2161	misapplication misunderstanding r0 2003 sars outbreak	misapplication misunderstanding r0 2003 sars outbreak
2162	mismatch	mismatch
2163	missing cdc employee	cdc
2164	mississippi aidswatch	mississippi aidswatch
2165	mistake	mistake
2166	mmr vaccine	mmr vaccine
2167	mmr vaccine increased risk autism black boys	mmr vaccine
2168	mmr 💉	mmr 💉
2169	mobile users ' wuhan	mobile users ' wuhan
2170	modelo	modelo
2171	modrnhealthcr	modrnhealthcr
2172	momentum coliving project	momentum coliving project
2173	moms babies reducing risk preterm	moms babies reducing risk preterm
2174	money pockets	money pockets
2175	monitor 16	monitor 16
2176	monitor outbre	monitor 16
2177	monthly quarterl	monthly quarterl
2178	months outbreak	months outbreak
2179	more babies	more babies
2180	more cases to come	more cases to come
2181	more cases to come – real conservatives unite	more cases to come
2182	more chinese cities	additional cities beyond wuhan
2183	more people	people
2184	more people than the opioid epidemic	more people than the opioid epidemic
2185	morons	morons
2186	mortgage rates fall	mortgage rates fall
2187	mosquitoes	locusts
2188	mosquitoes fish unpasteurized cheese may cause birth defects	mosquitoes fish unpasteurized cheese may cause birth defects
2189	most	most
2190	most americans	most americans
2191	most chinese doctors	most chinese doctors
2192	most younger veterans	most younger veterans
2193	mother - to - child hiv transmission	mother - to - child hiv transmission
2194	mother sick	mother sick
2195	mothers	mothers
2196	movie contagion actually coming true right given deadly	movie contagion actually coming true right given deadly
2197	moving inside city everyone	moving inside city everyone
2198	much	much
2199	much attention	much attention
2200	much bigger outbreak publicly stated far	a bigger outbreak
2201	much cooler spots cit	much cooler spots cit
2202	much going news	much going news
2203	much needed spotlight	much needed spotlight
2204	much prevention	much prevention
2205	multiple	hundreds
2206	multiple concussions	multiple concussions
2207	multiple concussions also part youth suicide epidemic	multiple concussions also part youth suicide epidemic
2208	multiple countries health officials	health officials
2209	multiple individual sources	multiple individual sources
2210	multiple local doctors wuhan estimate number cases new coronavirus may high 6000	multiple local doctors wuhan estimate number cases new coronavirus may high 6000
2211	multiple platforms	multiple platforms
2212	multiple steps	everyone steps
2213	multiple studies	multiple studies
2214	muslim ban @realdonaldtrump would please put temporary	muslim ban @realdonaldtrump would please put temporary
2215	my company safetec america	insurance companies
2216	my cousin china sent - shanghai hong qiao airport	my cousin china sent - shanghai hong qiao airport
2217	my cousin shanghai	my cousin shanghai
2218	my home country china	china
2219	my husband	my husband
2220	my man	man
2221	my mom	my husband
2222	my uncle md hong kong sars epidemic	china built lab study sars ebola wuhan
2223	n95 mask	buy n95 masks according story
2224	n95 masks	n95 masks
2225	n95 masks selling fast drug store	buy n95 masks according story
2226	n95 masks sufficient even n100 it would nice	buy n95 masks according story
2227	n95 masks vogmask is	buy n95 masks according story
2228	n95 respirator surgical mask serious sa	n95 respirator surgical mask serious sa
2229	n95 ya	n95 ya
2230	naccho president george t. roberts	naccho president george t. roberts
2231	nah	nah
2232	national	national
2233	national efforts	national efforts
2234	national fear agenda	national fear agenda
2235	national pie day	national pie day
2236	natural subs	natural subs
2237	ncov homologous recombination within spike glycoprotein newly identified coronavirus 2019-ncov	homologous recombination within spike glycoprotein newly identified coronavirus 2019-ncov
2238	ncov2019	ncov2019
2239	ncov2019 outbreak	coronavirus ncov
2240	ncov2019 wiki page	ncov2019 wiki page
2241	ne	ne
2242	nearly 50 % black women ages 14 49	half us population
2243	nearly every passenger	few fellow passengers
2244	nearly two decades	years
2245	need cdc	cdc
2246	needed wuhan china.why	needed wuhan china.why
2247	negative consequences	negative consequences
2248	neural tube	neural tube
2249	neural tube defects	neural tube
2250	new	new
2251	new @biorxivpreprint treasure ace2 receptor ncov rbd identified	angiotensin converting enzyme 2 ace2 receptor gain entry c
2252	new @cdc_genomics blog	@jackposobiec cdc website
2253	new animal model data	new animal model data
2254	new cases stabilized	new cases stabilized
2255	new cdc data	cdc data
2256	new cdc study	new cdc study
2257	new cdc study transgender women diagnosed w hiv	hiv
2258	new chinese corona virus outbreak	wuhan coronavirus
2259	new chinese virus sold slaughtered animals	new chinese virus sold slaughtered animals
2260	new coronavirus	coronavirus
2261	new coronavirus 17	coronavirus
2262	new coronavirus 17 years deadly sars epidemic	coronavirus outbreak 10 times worse sars
2263	new coronavirus 2019-ncov	suspected case 2019 novel coronavirus
2264	new coronavirus beijing wuhan zhejiang	wuhan coronavirus
2265	new coronavirus outbreak public health emergency international concern	coronavirus
2266	new coronavirus outbreak public health emergency international concern today	coronavirus
2267	new coronavirus penumonia epidemic preve	coronavirus
2268	new coronavirus soar	coronavirus
2269	new coronavirus wuhan these three microbiologists think may possible	suspected case wuhan coronavirus
2270	new deadly muted virus wuhan comes “ special ” eating habits	new deadly muted virus wuhan comes “ special ” eating habits
2271	new evidence	new evidence
2272	new foods	new foods
2273	new gates	new gates
2274	new gates foundation - backed @cepivaccines	new gates foundation - backed @cepivaccines
2275	new healthcare tweet regarding article	enjoy new healthcare tweet
2276	new hospital	new hospital
2277	new meridian	new meridian
2278	new model screening isola	new model screening isola
2279	new one indian nurse saudi arabia	new one indian nurse saudi arabia
2280	new one – epidemic meditation	new one – epidemic meditation
2281	new paper published @frontmicrobiol	new paper published @frontmicrobiol
2282	new paper published @frontmicrobiol using proximityligation	new paper published @frontmicrobiol
2283	new post first coronavirus case	coronavirus confirmed us case
2284	new quarantine procedures	large scale quarantine ncov ineffective
2285	new report smoking cessation	new report smoking cessation
2286	new research	new research
2287	new resource	new resource
2288	new rul	new rul
2289	new senate	new senate
2290	new singapore	breaking singapore macau
2291	new study	new research
2292	new surveillance plan epidemic cases pneumonitis infections disease investigation plan	new surveillance plan epidemic cases pneumonitis infections disease investigation plan
2293	new suspect cases coronavirusoutbreak 3	coronavirus
2294	new three people	new three people
2295	new video	new video
2296	new vietnam	new vietnam
2297	new virus	virus
2298	new virus china	a new virus spreading china
2299	new virus wuhan china	a new virus spreading china
2300	new warning signs	new warning signs
2301	new wuhan coronavirus	wuhan coronavirus
2302	new year	new year
2303	new year celebrations travel ban	new year celebrations travel ban
2304	new york times	foxnews
2305	newly finished	new
2306	newly identified coronavirus	coronavirus
2307	news	news
2308	news articles	foxnews
2309	news articles make sound like w	news articles make sound like w
2310	news conference coronavirus outbreak	coronavirus
2311	news corona virus outbreak china	wuhan coronavirus
2312	news release	news release
2313	news school town	news school town
2314	news wet market wuhan	news wet market wuhan
2315	news wuhan coronavirus i 'm curious know came lie n	news wuhan coronavirus i 'm curious know came lie n
2316	newspaper	newspaper
2317	next flu epidemic	next flu epidemic
2318	next pandemic	next flu epidemic
2319	nigeria	east africa
2320	nigeria prepared monitor outbre	nigeria prepared monitor outbre
2321	nih	nih
2322	nih ’s national institute	nih ’s national institute
2323	nih ’s national institute allergy infectious diseases niaid	allergy infectious diseases
2324	nine 440 infected china experts	nine 440 infected china experts
2325	niosh	niosh
2326	nmc	nmc
2327	no drugs	no drugs
2328	no one	no one
2329	no people	no one
2330	no people wuhan c china 's hubei	wuhan china
2331	no say who taiwan china coronavirus	no say who taiwan china coronavirus
2332	nokr	nokr
2333	non - essential travel wuhan ncov2019	avoiding nonessential wuhan travel
2334	none	none
2335	nonessential travel wuhan china due ongoing outbreak respiratory	police city quarantined china wuhan coronavirus
2336	nonessential travel wuhan state department 's lev	avoiding nonessential wuhan travel
2337	north korea	vietnam
2338	not declaring public health emergency international	declare global health emergency yet
2339	note	note
2340	nothing	nothing
2341	novavax	novavax
2342	nove	nove
2343	novel coronavirus	coronavirus
2344	novel coronavirus 2019-ncov	suspected case 2019 novel coronavirus
2345	novel coronavirus 2019-ncov - 21 january 2020 data 20 jan	suspected case 2019 novel coronavirus
2346	novel coronavirus 2019-ncov first identifi	suspected case 2019 novel coronavirus
2347	novel coronavirus 2019-ncov pneumonia	suspected case 2019 novel coronavirus
2348	novel coronavirus 2019-ncov wuhan	suspected case 2019 novel coronavirus
2349	novel coronavirus also known 2019-ncov	suspected case 2019 novel coronavirus
2350	novel coronavirus news	coronavirus
2351	novel coronavirus patients	coronavirus confirmed us case
2352	novel coronavirusoutbreak	coronavirusoutbreak
2353	novel virus rising case	novel virus rising case
2354	nuanced clear admission cdc	cdc
2355	number	number
2356	number abortions reported cdc since 1973 . it minimum number	number abortions reported cdc since 1973 . it minimum number
2357	number cases 440	number cases 440
2358	number infected china	nine 440 infected china experts
2359	number people infected	17 people infected 540
2360	numbers	number
2361	nurse question	nurse question
2362	o	o
2363	obama	obama
2364	obama spreading ebola	ebola loves africans
2365	obama ’s cdc study	new cdc study
2366	of alarming aspects rapidly spreading new virus wuhan china perhaps no super spreader ncov2019	a new virus spreading china
2367	of epidemic that could kill over 30 million people	of epidemic that could kill over 30 million people
2368	of virus worse than ebola	of virus worse than ebola
2369	offer financial support treating patients pneumonia caused novel coronavirus 2019-ncov	suspected case 2019 novel coronavirus
2370	office	office
2371	official	official
2372	official count far worse based much reacted	official count far worse based much reacted
2373	official gauden galea beijing	official gauden galea beijing
2374	official position wuhan virus outbreak wa state run for the hills hide	wuhan virus
2375	official prc	chinese authorities
2376	official statement	official
2377	official “ epidemic ” tag h	official “ epidemic ” tag h
2378	officials	officials
2379	officials across united states	elected officials
2380	officials texas	county texas
2381	ohio	ohio
2382	okinawans	okinawans
2383	old long smoking quitting	old long smoking quitting
2384	old people	people
2385	old place eunice phillips	old place eunice phillips
2386	one	one
2387	one chinese woman wuhan	one chinese woman wuhan
2388	one doctor	doctor
2389	one dynamic play right	one dynamic play right
2390	one last flights	one last flights
2391	one last flights wuhan china getting temperatures checked wit	flights booked wuhan
2392	one last trains	one last trains
2393	one last trains wuhan chinese city	one last trains wuhan chinese city
2394	one last trains wuhan thursday lockdown	wuhan lockdown
2395	one major concerns	one major concerns
2396	one news updates	one news updates
2397	one person	one person
2398	one person impacting millions lives	one person impacting millions lives
2399	one prominent case 33-yr old	one prominent case 33-yr old
2400	one real patient	a single patient
2401	one story	a story
2402	one terrible things	one terrible things
2403	one things	things
2404	one three caixin reporters staying	one three caixin reporters staying
2405	one us	one us
2406	one wuhan 's main stations	one wuhan 's main stations
2407	one wuhan 's main stations counting travel ban	one wuhan 's main stations
2408	onehealth solution protect health humans animals environments	onehealth solution protect health humans animals environments
2409	ones	one us
2410	ongoing work investigating responding rapidly - evolving nove	ongoing work investigating responding rapidly - evolving nove
2411	op tweet medical staff	op tweet medical staff
2412	open huge worms i 'm making point one person gets country	open huge worms i 'm making point one person gets country
2413	opinion piece written cdc study done 90	opinion piece written cdc study done 90
2414	opiod epidemic	opioid epidemic
2415	opioid epidemic	opioid epidemic
2416	opioid epidemic drugs	opioid epidemic
2417	opioid use pregnancy	opioid use pregnancy
2418	order	order
2419	order shut whole city 's publi	order shut whole city 's publi
2420	origin new chinese virus sold slaughtered animals likes wolf pup	new chinese virus sold slaughtered animals
2421	original design wielded jedi knight	jedi knight
2422	original source new coronavirus outbreak china	original source new coronavirus outbreak china
2423	original source new coronavirus outbreak china - cnn	original source new coronavirus outbreak china - cnn
2424	original source new coronavirus outbreak china - cnn coronavirusoutbreak	original source new coronavirus outbreak china - cnn
2425	original source newly discovered	original source newly discovered
2426	originated	originated
2427	osha 's infectious disease standard intended pro	osha 's infectious disease standard intended pro
2428	others	people
2429	others getting spreading respiratory illnesses like pandemic flu	of epidemic that could kill over 30 million people
2430	our 2020 mees visting scholar @jamie_ducharme	our 2020 mees visting scholar @jamie_ducharme
2431	our administration	this administration
2432	our chief china correspondent @chubailiang	chinese reporter ccp
2433	our choices	choice
2434	our co - founders sandy mary winnefeld	our co - founders sandy mary winnefeld
2435	our team	team
2436	ourselves	we
2437	outbound flights	flights
2438	outbound tra	outbound tra
2439	outbreak	outbreak
2440	outbreak airports around world	outbreak airports around world
2441	outbreak began seafood live - animal market city wuhan	infected seafood livestock market wuhan
2442	outbreak china	deadly china outbreak
2443	outbreak china - disease causes	deadly china outbreak
2444	outbreak corona	outbreak corona
2445	outbreak hit i like 😱 😱 😱 😱 😱	outbreak hit i like 😱 😱 😱 😱 😱
2446	outbreak lot worse chinese government leading w new coronavirus beijing wuhan zhejiang banned large public gatherings lunar new ye	i ’m wrong i genuinely believe outbreak lot worse chinese government leading w new coronavirus beijing wuhan zhejiang banned large public gatherings lunar new ye
2447	outbreak new deadly virus that ’s	deadly virus
2448	outbreak novel new coronavirus 2019-ncov	suspected case 2019 novel coronavirus
2449	outbreak substantial fraction infected pe	outbreak substantial fraction infected pe
2450	outbreak three chinese cities lockdown travel	police city quarantined china wuhan coronavirus
2451	outbreak update health officials	fast - developing outbreak
2452	outbreak ‘ controllable ’ yet infected	fast - developing outbreak
2453	outbreaks lethal diseases like ebola wuhan coronavirus happen regularly	current future healthcare preparedness efforts gaps outbreaks lethal diseases like ebola wuhan coronavirus happen regularly
2454	outrageous menu wuhan ’s market	food shops
2455	outsized power technology	outsized power technology
2456	outspread	outspread
2457	over 30 million people	over 30 million people
2458	over 75 percent youth vapers	over 75 percent youth vapers
2459	over thousand likely infected wuhan virus china scowl	wuhan virus
2460	oxford nanopore	oxford nanopore
2461	oxford nanopore supporting researchers	oxford nanopore
2462	oxford nanopore supporting researchers public health ph authorities	oxford nanopore
2463	p	p
2464	p2 lab wuhan - lab deals msot de	p2 lab wuhan - lab deals msot de
2465	page cdc	cdc
2466	pall growth prospects	pall growth prospects
2467	pandemi	pandemi
2468	pandemic	deadly epidemic flarin
2469	pandemic headed way thursdaythoughts	bird flu sars
2470	pandemic mini - documentary	even odder netflix released pandemic mini - documentary earlier month
2471	pandemic virus	deadly epidemic flarin
2472	pandemics	deadly epidemic flarin
2473	panel jada hicks	panel jada hicks
2474	panic	panic
2475	parents	parents
2476	part fbisd fbcpc	part fbisd fbcpc
2477	particular flight beijing helsinki	my cousin china sent - shanghai hong qiao airport
2478	particular flight beijing helsinki brought least 3 perso	particular flight beijing helsinki brought least 3 perso
2479	partner f	partner f
2480	passenger temperatures	passenger temperatures
2481	passenger transported airport	airport public transit
2482	passengers	passengers
2483	passengers aboard flight wednesday family person infected	passengers aboard flight wednesday family person infected
2484	passengers arriving hong kong international airport hong kong 9 ja	passengers arriving hong kong international airport hong kong 9 ja
2485	passengers cancel tickets nationwide without charging fees	passengers cancel tickets nationwide without charging fees
2486	passengers entering train	armed police blocked passengers entering train
2487	passengers flights	flights
2488	passengers o’hare airport 🌡 staing	passengers o’hare airport 🌡 staing
2489	passengers traveling wuhan china virus	wuhan virus
2490	past viral outbreaks epidemic locks 3 chinese cities	bec 3 cities central china went lockdown curb spread deadly virus already claimed 17 lives
2491	patent vaccine	a8 vaccines
2492	patent vaccine given months outbreak	patent vaccine given months outbreak
2493	patented virus vaccine	patented virus vaccine
2494	patents vaccines would n't conflict interest	patents vaccines would n't conflict interest
2495	patient	a single patient
2496	patient - level data 101 ncov cases	patient - level data 101 ncov cases
2497	patient 0 coronavirusoutbreak	patient 0 coronavirusoutbreak
2498	patient @tamu student traveled wuhan china virus originated	a new virus spreading china
2499	patient donna hernandez waitress new mexico	patient donna hernandez waitress new mexico
2500	patient suffering coronavi	coronavirus confirmed us case
2501	patient traveled wuhan china coronavirus origi	wuhan coronavirus
2502	patient wuhan bari	patient wuhan bari
2503	patient wuhan bari italy showed alleged symptoms	alleged symptoms
2504	patients	patients
2505	patients coronavirus visit	coronavirus outbreak hospitals
2506	patients infected wuhan	patients infected wuhan
2507	patients recent travel china recommendation	patients recent travel china recommendation
2508	patients recent travel china virus outbreak	patients recent travel china virus outbreak
2509	pause china 's ability weigh human health agricul	pause china 's ability weigh human health agricul
2510	paying child support baby	paying child support baby
2511	paywall wuhancoronavirus related articles chinese	wuhan virus
2512	peace plan election trump	peace plan election trump
2513	peanut	peanut
2514	pence	obama
2515	pencil neck ⁦@repadamschiff⁩	pencil neck ⁦@repadamschiff⁩
2516	peop	peop
2517	people	people
2518	people abortion clinics do	people abortion clinics do
2519	people accusing cdc creating scare campaign sell vaccines new strain coro	people accusing cdc creating scare campaign sell vaccines new strain coro
2520	people away	people away
2521	people china wuhan	wuhan people
2522	people china wuhan saying saying	wuhan people
2523	people collapsing place	people collapsing place
2524	people dropping street dropping dying hospital this p	people dropping street dropping dying hospital this p
2525	people eating chinese delicacy	chinese people eating bats
2526	people immediately decide get airplane	people immediately decide get airplane
2527	people insurance	people insurance
2528	people killed per year gun violence	people killed per year gun violence
2529	people posted online	people
2530	people really interested outbreak detection we 're going gol	outbreak
2531	people saying 20 ambulance rushing xiaotangshan hospital beijing use b special fac	people saying 20 ambulance rushing xiaotangshan hospital beijing use b special fac
2532	people six months older	people
2533	people six months older get flu shot	flu shot
2534	people snakes	snakes
2535	people spreading calls “ rumors	calls “ rumors
2536	people spreading news corona virus outbreak china	original source new coronavirus outbreak china
2537	people stocking supplies china ordered lockdown city	3 chinese cities lockdown curb
2538	people stopped vaccinating children autism ..... kids dying v	people stopped vaccinating children autism ..... kids dying v
2539	people trying faili	people trying faili
2540	people trying leave wuhan coronavirusoutbreak	people trying leave wuhan coronavirusoutbreak
2541	people w hiv get keep	people w hiv get keep
2542	people wearing masks	people wearing masks
2543	people wuhan china	wuhan people
2544	people ’s trust stop outbreak	people ’s trust stop outbreak
2545	percentage youth young adults ages 15 - 34 e	percentage youth young adults ages 15 - 34 e
2546	person	person
2547	person account	just fyi - person
2548	person fever 🤒 wuhan coronovirus th	coronovirus wuhan
2549	person person	person
2550	person person previously thought	person person previously thought
2551	peter hotez	peter hotez
2552	peter xinping wuhan china	peter xinping wuhan china
2553	pharma exec	ex - pharma merck - exec
2554	pheic	pheic
2555	pheic today taken sign wh	pheic today taken sign wh
2556	phones	phones
2557	physical evidence flu vaccines	physical evidence flu vaccines
2558	physicians	doctors
2559	picky eater	picky eater
2560	picky eater try new foods	new foods
2561	picture oscar nominees	picture oscar nominees
2562	pictures videos wuhan city lockdown	wuhan lockdown
2563	pifs	mfs
2564	pixels cookies	pixels cookies
2565	plan b now	plan b now
2566	plan contain coronavirus us	contain coronavirus
2567	plane passengers	airplane
2568	plastic tubes	plastic tubes
2569	plight doctors	plight doctors
2570	pneumonia	first case viral pneumonia
2571	pneumonia deadly	pneumonia deadly
2572	pneumonia outbreak	new surveillance plan epidemic cases pneumonitis infections disease investigation plan
2573	po	make po
2574	point	point
2575	point one person	one person
2576	point one person gets country	open huge worms i 'm making point one person gets country
2577	polar bears	polar bears
2578	police	police
2579	police city quarantined china wuhan coronavirus	police city quarantined china wuhan coronavirus
2580	police city wuhan	11 million wuhan home
2581	police departments	police
2582	police swat teams paramilitary troops	police
2583	policy	policy
2584	political diplomatic sensitivities interf	political diplomatic sensitivities interf
2585	political interests	political interests
2586	politicians	elected officials
2587	politicians trivialize violent crime	politicians trivialize violent crime
2588	politics voice heard	politics voice heard
2589	poor control diabetes pregnancy	poor control diabetes pregnancy
2590	pop - up hospital	pop - up hospital
2591	popular animated movies	popular animated movies
2592	portland dense forest areas	portland dense forest areas
2593	pos	pos
2594	positive wuhan virus	wuhan virus
2595	positive wuhan virus - reuters	wuhan virus
2596	possible case 2019 novel coronavi	suspected case 2019 novel coronavirus
2597	possible case coronavirus	suspected case coronavirus
2598	possible city	kansas city
2599	possible sustained ncov spread china	possible sustained ncov spread china
2600	post china science ’s i searching twitter	post china science ’s i searching twitter
2601	posting corona virus serious	posting corona virus serious
2602	posting wuhan laboratory accidental release i familiar similar incedent	posting wuhan laboratory accidental release i familiar similar incedent
2603	posts	posts
2604	potential	potential
2605	potential cases new coronavirus divided world health organi	coronavirus
2606	potential coronavirus symptoms	suspected case coronavirus
2607	potential econo	potential econo
2608	potential economic damage	economic risk
2609	potential epidemic	epidemic
2610	potential f	potential
2611	potential health implications wuhan coronavirus important cdc	suspected case wuhan coronavirus
2612	potential homeowners	potential homeowners
2613	potential spread wuhan coronavirus worldwide	wuhan coronavirus
2614	potus	potus
2615	powers	powers
2616	ppl head ppl	people
2617	pre - boarding travel accessories	pre - boarding travel accessories
2618	precautionary measure coronavirus	contain coronavirus
2619	precautions	precautions
2620	precautions screen travelers could carrying dea	precautions screen travelers could carrying dea
2621	precautions stop	precautions
2622	pregnancy	pregnancy
2623	pregnant	pregnancy
2624	pregnant women	pregnant women
2625	pregnant women get mmr 💉	pregnant women get mmr 💉
2626	prep	prep
2627	prepared con	conser
2628	preprint i tweeted today	enjoy new healthcare tweet
2629	preschooler	preschooler
