	gold	narrative	brc	sum	ARG0	va_key	ARG1
1334	i ** REQUIRE_NEED_WANT_HOPE ** change body ”	i ** REQUIRE_NEED_WANT_HOPE ** change body ”	120	1	i	REQUIRE_NEED_WANT_HOPE	change body ”
1335	i ** REQUIRE_NEED_WANT_HOPE ** dumb ass govt catches wuhancoronavirus wanna save face telling the govt officials wear masks press con	i ** REQUIRE_NEED_WANT_HOPE ** dumb ass govt catches wuhancoronavirus wanna save face telling the govt officials wear masks press con	623	1	i	REQUIRE_NEED_WANT_HOPE	dumb ass govt catches wuhancoronavirus wanna save face telling the govt officials wear masks press con
1336	i ** REQUIRE_NEED_WANT_HOPE ** enjoy new healthcare tweet	i ** REQUIRE_NEED_WANT_HOPE ** enjoy new healthcare tweet	1695	1	i	REQUIRE_NEED_WANT_HOPE	enjoy new healthcare tweet
1337	i ** REQUIRE_NEED_WANT_HOPE ** figure	i ** REQUIRE_NEED_WANT_HOPE ** figure	1696	1	i	REQUIRE_NEED_WANT_HOPE	figure
1338	i ** REQUIRE_NEED_WANT_HOPE ** find actual cause soon	i ** REQUIRE_NEED_WANT_HOPE ** find actual cause soon	1225	1	i	REQUIRE_NEED_WANT_HOPE	find actual cause soon
1339	i ** REQUIRE_NEED_WANT_HOPE ** friends wuhan fi	i ** REQUIRE_NEED_WANT_HOPE ** friends wuhan fi	240	3	i	REQUIRE_NEED_WANT_HOPE	friends wuhan fi
1340	i ** REQUIRE_NEED_WANT_HOPE ** friends wuhan fi	i ** REQUIRE_NEED_WANT_HOPE ** go “ wuhan got check ” title play seo game	240	3	i	REQUIRE_NEED_WANT_HOPE	friends wuhan fi
1341	i ** REQUIRE_NEED_WANT_HOPE ** go airport 😷 wuhancoronavirus the deadl	i ** REQUIRE_NEED_WANT_HOPE ** go airport 😷 wuhancoronavirus the deadl	906	1	i	REQUIRE_NEED_WANT_HOPE	go airport 😷 wuhancoronavirus the deadl
1342	i ** REQUIRE_NEED_WANT_HOPE ** little bit personalize epidemic bc	i ** REQUIRE_NEED_WANT_HOPE ** little bit personalize epidemic bc	1327	3	i	REQUIRE_NEED_WANT_HOPE	little bit personalize epidemic bc
1343	i ** REQUIRE_NEED_WANT_HOPE ** little bit personalize epidemic bc	just world ** REQUIRE_NEED_WANT_HOPE ** another outbreak	1327	3	i	REQUIRE_NEED_WANT_HOPE	little bit personalize epidemic bc
1344	i ** REQUIRE_NEED_WANT_HOPE ** little bit personalize epidemic bc	this outbreak stark reminder ** REQUIRE_NEED_WANT_HOPE ** better prevention focus globally reducing	1327	3	i	REQUIRE_NEED_WANT_HOPE	little bit personalize epidemic bc
1345	i ** REQUIRE_NEED_WANT_HOPE ** people	i ** REQUIRE_NEED_WANT_HOPE ** people	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1346	i ** REQUIRE_NEED_WANT_HOPE ** people	i ** REQUIRE_NEED_WANT_HOPE ** regular situation reports ncov2019	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1347	i ** REQUIRE_NEED_WANT_HOPE ** people	i ** REQUIRE_NEED_WANT_HOPE ** stay body	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1348	i ** REQUIRE_NEED_WANT_HOPE ** people	i ** REQUIRE_NEED_WANT_HOPE ** time	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1349	i ** REQUIRE_NEED_WANT_HOPE ** people	i ** REQUIRE_NEED_WANT_HOPE ** we ’re ready	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1350	i ** REQUIRE_NEED_WANT_HOPE ** people	i ** REQUIRE_NEED_WANT_HOPE ** well	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1351	i ** REQUIRE_NEED_WANT_HOPE ** people	i ** REQUIRE_NEED_WANT_HOPE ** will crisis	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1352	i ** REQUIRE_NEED_WANT_HOPE ** people	no one ** REQUIRE_NEED_WANT_HOPE ** talk about	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1353	i ** REQUIRE_NEED_WANT_HOPE ** people	we ** REQUIRE_NEED_WANT_HOPE ** th	1697	9	i	REQUIRE_NEED_WANT_HOPE	people
1354	i ** REQUIRE_NEED_WANT_HOPE ** that linkedin brand guy giving virus long unwieldy official name offi some additional info i tweeted earlier week	i ** REQUIRE_NEED_WANT_HOPE ** that linkedin brand guy giving virus long unwieldy official name offi some additional info i tweeted earlier week	1747	2	i	REQUIRE_NEED_WANT_HOPE	that linkedin brand guy giving virus long unwieldy official name offi some additional info i tweeted earlier week
1355	i ** REQUIRE_NEED_WANT_HOPE ** that linkedin brand guy giving virus long unwieldy official name offi some additional info i tweeted earlier week	that linkedin brand guy ** GIVE_GIFT ** virus long unwieldy official name	1747	2	i	REQUIRE_NEED_WANT_HOPE	that linkedin brand guy giving virus long unwieldy official name offi some additional info i tweeted earlier week
1356	i ** RESULT_CONSEQUENCE ** good deed	i ** RESULT_CONSEQUENCE ** good deed	121	1	i	RESULT_CONSEQUENCE	good deed
1357	i ** RETAIN_KEEP_SAVE-MONEY ** susan gutierrez whose husband died sickened last fall 's east texas state f	i ** RETAIN_KEEP_SAVE-MONEY ** susan gutierrez whose husband died sickened last fall 's east texas state f	1699	1	i	RETAIN_KEEP_SAVE-MONEY	susan gutierrez whose husband died sickened last fall 's east texas state f
1358	i ** SEARCH ** another kind bat baseball bat	i ** SEARCH ** another kind bat baseball bat	122	1	i	SEARCH	another kind bat baseball bat
1359	i ** SEARCH ** info cases	i ** SEARCH ** info cases	146	2	i	SEARCH	info cases
1360	i ** SEARCH ** info cases	i ** SEARCH ** twitter	146	2	i	SEARCH	info cases
1361	i ** SEARCH ** updates	i ** SEARCH ** updates	147	1	i	SEARCH	updates
1362	i ** SEE ** adverse vaccine reacti	i ** SEE ** adverse vaccine reacti	1424	2	i	SEE	adverse vaccine reacti
1363	i ** SEE ** adverse vaccine reacti	i ** WORK ** a busy ped amt children i saw adverse vaccine reacti	1424	2	i	SEE	adverse vaccine reacti
1364	i ** SEE ** bird flu sars influenza a	i ** SEE ** bird flu sars influenza a	1328	11	i	SEE	bird flu sars influenza a
1365	i ** SEE ** bird flu sars influenza a	i ** SEE ** bird flu sars influenza a swine fever	1328	11	i	SEE	bird flu sars influenza a
1366	i ** SEE ** bird flu sars influenza a	i ** SEE ** bird flu sars influenza a swine fever rest	1328	11	i	SEE	bird flu sars influenza a
1367	i ** SEE ** bird flu sars influenza a	it ** INCLUDE-AS ** pandemics	1328	11	i	SEE	bird flu sars influenza a
1368	i ** SEE ** chilling perspective wuhan outbreak	i ** SEE ** chilling perspective wuhan outbreak	241	16	i	SEE	chilling perspective wuhan outbreak
1369	i ** SEE ** city coping lockdown th	i ** SEE ** city coping lockdown th	462	7	i	SEE	city coping lockdown th
1370	i ** SEE ** city coping lockdown th	we ** KNOW ** soon possible city must respond immediately urgently prevent loss life	462	7	i	SEE	city coping lockdown th
1371	i ** SEE ** consensus	i ** SEE ** consensus	164	2	i	SEE	consensus
1372	i ** SEE ** consensus	i ** THINK ** i see consensus here	164	2	i	SEE	consensus
1373	i ** SEE ** doing	i ** SEE ** doing	165	1	i	SEE	doing
1374	i ** SEE ** extremely important ncov2019 research studies behind firewalls scientific journals	i ** SEE ** extremely important ncov2019 research studies behind firewalls scientific journals	416	1	i	SEE	extremely important ncov2019 research studies behind firewalls scientific journals
1375	i ** SEE ** far what 's going fake epidemic vaping flavored nicotine ejuice	i ** SEE ** far what 's going fake epidemic vaping flavored nicotine ejuice	1187	3	i	SEE	far what 's going fake epidemic vaping flavored nicotine ejuice
1376	i ** SEE ** first shots	i ** SEE ** first shots	203	1	i	SEE	first shots
1377	i ** SEE ** horrid things markets	i ** SEE ** horrid things markets	6	1	i	SEE	horrid things markets
1378	i ** SEE ** idiot	i ** SEE ** idiot	166	2	i	SEE	idiot
1379	i ** SEE ** idiot	i ** SEE ** it	166	2	i	SEE	idiot
1380	i ** SEE ** indigenous women boys going	i ** SEE ** indigenous women boys going	167	1	i	SEE	indigenous women boys going
1381	i ** SEE ** la clippers got basically see g - league clippers i ’d	i ** SEE ** la clippers got basically see g - league clippers i ’d	168	1	i	SEE	la clippers got basically see g - league clippers i ’d
1382	i ** SEE ** news articles make sound like w	i ** SEE ** news articles make sound like w	123	1	i	SEE	news articles make sound like w
1383	i ** SEE ** outbreak hit i like 😱 😱 😱 😱 😱	i ** SEE ** outbreak hit i like 😱 😱 😱 😱 😱	1277	1	i	SEE	outbreak hit i like 😱 😱 😱 😱 😱
1384	i ** SEE ** people accusing cdc creating scare campaign sell vaccines new strain coro	i ** SEE ** people accusing cdc creating scare campaign sell vaccines new strain coro	1425	1	i	SEE	people accusing cdc creating scare campaign sell vaccines new strain coro
1385	i ** SEE ** response	i ** SEE ** response	169	1	i	SEE	response
1386	i ** SEE ** videos	i ** RECORD ** video	144	5	i	SEE	videos
1387	i ** SEE ** videos	i ** SEE ** videos	144	5	i	SEE	videos
1388	i ** SEE ** youtube video guy li	i ** SEE ** youtube video guy li	124	1	i	SEE	youtube video guy li
1389	i ** SPEAK ** 3 people tamiflu far	i ** SPEAK ** 3 people tamiflu far	170	1	i	SPEAK	3 people tamiflu far
1390	i ** SPEAK ** @gwynethpaltrow candle blame	i ** SPEAK ** @gwynethpaltrow candle blame	1678	1	i	SPEAK	@gwynethpaltrow candle blame
1391	i ** SPEAK ** a story	i ** SPEAK ** a story	171	1	i	SPEAK	a story
1392	i ** SPEAK ** shutting	i ** SPEAK ** shutting	125	2	i	SPEAK	shutting
1393	i ** SPEAK ** shutting	i ** SPEAK ** this	125	2	i	SPEAK	shutting
1394	i ** SPEND-TIME_PASS-TIME ** whole day	i ** SPEND-TIME_PASS-TIME ** whole day	148	4	i	SPEND-TIME_PASS-TIME	whole day
1395	i ** SUPPOSE ** journalists still low	i ** SUPPOSE ** journalists still low	1117	1	i	SUPPOSE	journalists still low
1396	i ** TAKE ** cdc state day	i ** TAKE ** cdc state day	1540	1	i	TAKE	cdc state day
1397	i ** TAKE ** office	i ** TAKE ** office	172	1	i	TAKE	office
1398	i ** TASTE ** it	i ** TASTE ** it	204	1	i	TASTE	it
1399	i ** THINK ** anyone taking wuhan coronavirus nearly seriously enough	i ** THINK ** anyone taking wuhan coronavirus nearly seriously enough	818	3	i	THINK	anyone taking wuhan coronavirus nearly seriously enough
1400	i ** THINK ** best thing jam hallw coronavirusoutbreak from relative wuhan	i ** THINK ** best thing jam hallw coronavirusoutbreak from relative wuhan	819	1	i	THINK	best thing jam hallw coronavirusoutbreak from relative wuhan
1401	i ** THINK ** china ban travellers coming china well cancelling cruises	i ** THINK ** china ban travellers coming china well cancelling cruises	298	1	i	THINK	china ban travellers coming china well cancelling cruises
1402	i ** THINK ** i figured out	i ** THINK ** i figured out	173	1	i	THINK	i figured out
1403	i ** THINK ** i ’d rather lick wuhan toilet	i ** THINK ** i ’d rather lick wuhan toilet	242	2	i	THINK	i ’d rather lick wuhan toilet
1404	i ** THINK ** i ’d rather lick wuhan toilet	i ** TOUCH ** wuhan toilet	242	2	i	THINK	i ’d rather lick wuhan toilet
1405	i ** THINK ** i ’m already really tired twitter sensationalism around 2019-ncov i ’ve part emer	i ** THINK ** i ’m already really tired twitter sensationalism around 2019-ncov i ’ve part emer	1278	3	i	THINK	i ’m already really tired twitter sensationalism around 2019-ncov i ’ve part emer
1406	i ** THINK ** i ’ve done good deed day	i ** THINK ** i ’ve done good deed day	205	1	i	THINK	i ’ve done good deed day
1407	i ** THINK ** is	i ** THINK ** is	174	2	i	THINK	is
1408	i ** THINK ** is	you ** THINK ** so	174	2	i	THINK	is
1409	i ** THINK ** january worse start new year i see news articles make sound like w	i ** THINK ** january worse start new year i see news articles make sound like w	1679	2	i	THINK	january worse start new year i see news articles make sound like w
1410	i ** THINK ** january worse start new year i see news articles make sound like w	january ** BEGIN ** new year	1679	2	i	THINK	january worse start new year i see news articles make sound like w
1411	i ** THINK ** multiple concussions also part youth suicide epidemic	i ** THINK ** multiple concussions also part youth suicide epidemic	1188	2	i	THINK	multiple concussions also part youth suicide epidemic
1412	i ** THINK ** multiple concussions also part youth suicide epidemic	multiple concussions ** DISBAND_BREAK-UP ** youth suicide epidemic	1188	2	i	THINK	multiple concussions also part youth suicide epidemic
1413	i ** THINK ** needed wuhan china.why	i ** THINK ** needed wuhan china.why	243	3	i	THINK	needed wuhan china.why
1414	i ** THINK ** needed wuhan china.why	i ** WORK ** wuhan china	243	3	i	THINK	needed wuhan china.why
1415	i ** THINK ** strong evidence susta	i ** THINK ** strong evidence susta	1142	1	i	THINK	strong evidence susta
1416	i ** THINK ** throuple ” yuckiest thing i ’ve recently learned turns bat shit crazy really thing	i ** THINK ** throuple ” yuckiest thing i ’ve recently learned turns bat shit crazy really thing	65	6	i	THINK	throuple ” yuckiest thing i ’ve recently learned turns bat shit crazy really thing
1417	i ** THINK ** would say	i ** THINK ** would say	175	1	i	THINK	would say
1418	i ** TRY ** find info	i ** TRY ** find info	126	1	i	TRY	find info
1419	i ** TRY ** make po	i ** TRY ** make po	149	1	i	TRY	make po
1420	i ** TRY ** open huge worms i 'm making point one person gets country	i ** TRY ** open huge worms i 'm making point one person gets country	35	1	i	TRY	open huge worms i 'm making point one person gets country
1421	i ** TRY ** something similar program recovering addicts work inmates	i ** TRY ** something similar program recovering addicts work inmates	1080	2	i	TRY	something similar program recovering addicts work inmates
1422	i ** TRY ** something similar program recovering addicts work inmates	something ** OBTAIN ** addicts work inmates	1080	2	i	TRY	something similar program recovering addicts work inmates
1423	i ** UNDERGO-EXPERIENCE ** lot	i ** UNDERGO-EXPERIENCE ** lot	127	1	i	UNDERGO-EXPERIENCE	lot
1424	i ** USE ** pixels cookies	i ** USE ** pixels cookies	150	1	i	USE	pixels cookies
1425	i ** USE ** stake coffee place restaurant	i ** USE ** stake coffee place restaurant	36	1	i	USE	stake coffee place restaurant
1426	i ** VERIFY ** somebody	i ** VERIFY ** somebody	151	1	i	VERIFY	somebody
1427	i ** VERIFY ** sources people send videos coronavirus outbreak china	i ** VERIFY ** sources people send videos coronavirus outbreak china	870	2	i	VERIFY	sources people send videos coronavirus outbreak china
1428	i ** VERIFY ** sources people send videos coronavirus outbreak china	people ** SEND ** videos coronavirus outbreak china	870	2	i	VERIFY	sources people send videos coronavirus outbreak china
1429	i ** WRITE ** bio - lab	i ** WRITE ** bio - lab	128	2	i	WRITE	bio - lab
1430	i mind ** DRESS_WEAR ** mask	i mind ** DRESS_WEAR ** mask	351	1	i mind	DRESS_WEAR	mask
1431	i reading ** AFFIRM ** latest outbreak probably mutated fruit	i reading ** AFFIRM ** latest outbreak probably mutated fruit	1226	2	i reading	AFFIRM	latest outbreak probably mutated fruit
1432	i reading ** AFFIRM ** latest outbreak probably mutated fruit	latest outbreak ** CHANGE-APPEARANCE/STATE ** fruit	1226	2	i reading	AFFIRM	latest outbreak probably mutated fruit
1433	i thumbs ** CONTINUE ** unliking it	i thumbs ** CONTINUE ** unliking it	129	1	i thumbs	CONTINUE	unliking it
1434	i thumbs ** LIBERATE_ALLOW_AFFORD ** it	i thumbs ** LIBERATE_ALLOW_AFFORD ** it	1748	1	i thumbs	LIBERATE_ALLOW_AFFORD	it
1435	icymi @cdcgov ** SELL ** handwashing posters audiences ages multiple languages	icymi @cdcgov ** SELL ** handwashing posters audiences ages multiple languages	1749	1	icymi @cdcgov	SELL	handwashing posters audiences ages multiple languages
1436	ignorance ** INCITE_INDUCE ** worse	ignorance ** INCITE_INDUCE ** worse	1249	1	ignorance	INCITE_INDUCE	worse
1437	ignorance history ** PROTECT ** traditional chinese medicine midst	ignorance history ** PROTECT ** traditional chinese medicine midst	381	1	ignorance history	PROTECT	traditional chinese medicine midst
1438	imax thursday ** AFFIRM ** delay release lunar new year movie slate china amid virus outbre	imax thursday ** AFFIRM ** delay release lunar new year movie slate china amid virus outbre	553	1	imax thursday	AFFIRM	delay release lunar new year movie slate china amid virus outbre
1439	immoral ** CLOUD_SHADOW_HIDE ** vital science	immoral ** CLOUD_SHADOW_HIDE ** vital science	1250	3	immoral	CLOUD_SHADOW_HIDE	vital science
1440	imperial college london ** PROPOSE ** number cases 440	imperial college london ** PROPOSE ** number cases 440	1475	4	imperial college london	PROPOSE	number cases 440
1441	important agencies ** INFLUENCE ** community work	important agencies ** INFLUENCE ** community work	1189	1	important agencies	INFLUENCE	community work
1442	indian students ** EXIST-WITH-FEATURE ** unsuspecting vectors china virus	indian students ** EXIST-WITH-FEATURE ** unsuspecting vectors china virus	731	1	indian students	EXIST-WITH-FEATURE	unsuspecting vectors china virus
1443	infec ** BREAK_DETERIORATE ** the death toll coronavirus outbreak china	infec ** BREAK_DETERIORATE ** the death toll coronavirus outbreak china	871	1	infec	BREAK_DETERIORATE	the death toll coronavirus outbreak china
1444	information ** SUBJECTIVE-JUDGING ** patients coronavirus visit	information ** SUBJECTIVE-JUDGING ** patients coronavirus visit	625	1	information	SUBJECTIVE-JUDGING	patients coronavirus visit
1445	inhumane sickening illegals roof heads ** PAY ** tax dollars	inhumane sickening illegals roof heads ** PAY ** tax dollars	1751	1	inhumane sickening illegals roof heads	PAY	tax dollars
1446	initial characterisation ncov ** SHOW ** deep	initial characterisation ncov ** SHOW ** deep	1631	2	initial characterisation ncov	SHOW	deep
1447	initial cover wuhan virus @ft graphic ** SHOW ** surge keyw	initial cover wuhan virus @ft graphic ** SHOW ** surge keyw	907	2	initial cover wuhan virus @ft graphic	SHOW	surge keyw
1448	inmates ** RECORD ** videos	inmates ** RECORD ** videos	1190	1	inmates	RECORD	videos
1449	insurance companies ** PAY ** ra	insurance companies ** PAY ** ra	1387	1	insurance companies	PAY	ra
1450	interim guidance range topics ** HELP_HEAL_CARE_CURE ** countries manage new coronavirus 2019-ncov	interim guidance range topics ** HELP_HEAL_CARE_CURE ** countries manage new coronavirus 2019-ncov	1037	1	interim guidance range topics	HELP_HEAL_CARE_CURE	countries manage new coronavirus 2019-ncov
1451	investors ** THINK ** potential econo	investors ** THINK ** potential econo	7	2	investors	THINK	potential econo
1452	israel ** LIKE ** dogs going get fleas	israel ** LIKE ** dogs going get fleas	66	1	israel	LIKE	dogs going get fleas
1453	it ** AFFIRM ** deadly strain sh	i ** BELIEVE ** it ’s e. coli	1423	3	it	AFFIRM	deadly strain sh
1454	it ** AFFIRM ** deadly strain sh	it ** AFFIRM ** deadly strain sh	1423	3	it	AFFIRM	deadly strain sh
1455	it ** AFFIRM ** one terrible things	it ** AFFIRM ** one terrible things	67	2	it	AFFIRM	one terrible things
1456	it ** AFFIRM ** one terrible things	this ** INCITE_INDUCE ** things worse youth thousands adult lives liv	67	2	it	AFFIRM	one terrible things
1457	it ** AUXILIARY ** test another vaccine think ebola	it ** AUXILIARY ** test another vaccine think ebola	1426	2	it	AUXILIARY	test another vaccine think ebola
1458	it ** AUXILIARY ** test another vaccine think ebola	it ** VERIFY ** another vaccine think ebola $ $ $ $ funnel	1426	2	it	AUXILIARY	test another vaccine think ebola
1459	it ** CHANGE-APPEARANCE/STATE ** spreads	it ** CHANGE-APPEARANCE/STATE ** spreads	52	1	it	CHANGE-APPEARANCE/STATE	spreads
1460	it ** COPULA ** flu	it ** COPULA ** flu	935	1	it	COPULA	flu
1461	it ** FOCUS ** epidemic firefighter suicide	it ** FOCUS ** epidemic firefighter suicide	1279	1	it	FOCUS	epidemic firefighter suicide
1462	it ** GIVE_GIFT ** laug	it ** GIVE_GIFT ** laug	130	1	it	GIVE_GIFT	laug
1463	it ** GIVE_GIFT ** pause china 's ability weigh human health agricul	it ** GIVE_GIFT ** pause china 's ability weigh human health agricul	334	1	it	GIVE_GIFT	pause china 's ability weigh human health agricul
1464	it ** HELP_HEAL_CARE_CURE ** p	it ** HELP_HEAL_CARE_CURE ** p	1365	2	it	HELP_HEAL_CARE_CURE	p
1465	it ** HELP_HEAL_CARE_CURE ** p	they ** HELP_HEAL_CARE_CURE ** find problems early wh	1365	2	it	HELP_HEAL_CARE_CURE	p
1466	it ** IMPLY ** we 're taking another trip eagle land 's past @bham_museum	it ** IMPLY ** we 're taking another trip eagle land 's past @bham_museum	176	2	it	IMPLY	we 're taking another trip eagle land 's past @bham_museum
1467	it ** IMPLY ** we 're taking another trip eagle land 's past @bham_museum	we ** TAKE ** another trip eagle land 's past @bham_museum	176	2	it	IMPLY	we 're taking another trip eagle land 's past @bham_museum
1468	it ** JOIN_CONNECT ** pifs	it ** JOIN_CONNECT ** pifs	1653	1	it	JOIN_CONNECT	pifs
1469	it ** KILL ** less 10 percent people get	it ** KILL ** less 10 percent people get	1388	2	it	KILL	less 10 percent people get
1470	it ** KILL ** less 10 percent people get	nah ** SEEM ** like it 'll kills less 10 percent people get it	1388	2	it	KILL	less 10 percent people get
1471	it ** KNOW ** effective well matched circulating viruses year ’s flu vac	it ** KNOW ** effective well matched circulating viruses year ’s flu vac	936	1	it	KNOW	effective well matched circulating viruses year ’s flu vac
1472	it ** LIKE ** reliable list	it ** LIKE ** reliable list	152	1	it	LIKE	reliable list
1473	it ** MISTAKE ** majority time	it ** MISTAKE ** majority time	68	1	it	MISTAKE	majority time
1474	it ** REPAIR_REMEDY ** south centrals crack epidemic	it ** REPAIR_REMEDY ** south centrals crack epidemic	417	1	it	REPAIR_REMEDY	south centrals crack epidemic
1475	it ** REQUIRE_NEED_WANT_HOPE ** 24 long years	it ** REQUIRE_NEED_WANT_HOPE ** 24 long years	1700	1	it	REQUIRE_NEED_WANT_HOPE	24 long years
1476	it ** REQUIRE_NEED_WANT_HOPE ** six articles i found reported symptoms 2019-ncov	it ** REQUIRE_NEED_WANT_HOPE ** six articles i found reported symptoms 2019-ncov	676	1	it	REQUIRE_NEED_WANT_HOPE	six articles i found reported symptoms 2019-ncov
1477	it ** SPEAK ** affor	it ** SPEAK ** affor	69	1	it	SPEAK	affor
1478	it ** STOP ** coronavirusoutbreak	it ** STOP ** coronavirusoutbreak	1038	1	it	STOP	coronavirusoutbreak
1479	it ** TOLERATE ** week	it ** TOLERATE ** week	37	1	it	TOLERATE	week
1480	it ** TRY ** preve	it ** TRY ** preve	38	1	it	TRY	preve
1481	it ’s ** OBTAIN ** flu shot	it ’s ** OBTAIN ** flu shot	1389	5	it ’s	OBTAIN	flu shot
1482	it ’s ** OBTAIN ** flu shot	most ** PROPOSE ** people six months older get flu shot	1389	5	it ’s	OBTAIN	flu shot
1483	it ’s ** OBTAIN ** flu shot	most younger veterans ** KNOW ** cdc recommends people six months older get flu shot	1389	5	it ’s	OBTAIN	flu shot
1484	it ’s ** OBTAIN ** flu shot	people six months older ** OBTAIN ** flu shot	1389	5	it ’s	OBTAIN	flu shot
1485	it ’s early know ** REACH ** fluseason	it ’s early know ** REACH ** fluseason	177	2	it ’s early know	REACH	fluseason
1486	it ’s interesting numbers ** IMPLY ** different things	it ’s interesting numbers ** IMPLY ** different things	70	2	it ’s interesting numbers	IMPLY	different things
1487	it ’s irresponsible reprehensible ccp ** PUT_APPLY_PLACE_PAVE ** political interests	it ’s irresponsible reprehensible ccp ** PUT_APPLY_PLACE_PAVE ** political interests	1191	1	it ’s irresponsible reprehensible ccp	PUT_APPLY_PLACE_PAVE	political interests
1488	it ’s lab ** INCITE_INDUCE ** cdc	it ’s lab ** INCITE_INDUCE ** cdc	1632	1	it ’s lab	INCITE_INDUCE	cdc
1489	it ’s late aim ** PRECLUDE_FORBID_EXPEL ** stroke	it ’s late aim ** PRECLUDE_FORBID_EXPEL ** stroke	1680	2	it ’s late aim	PRECLUDE_FORBID_EXPEL	stroke
1490	it ’s secret diabetesburnout ** MOUNT_ASSEMBLE_PRODUCE ** mark health	it ’s secret diabetesburnout ** MOUNT_ASSEMBLE_PRODUCE ** mark health	1654	1	it ’s secret diabetesburnout	MOUNT_ASSEMBLE_PRODUCE	mark health
1491	january 1 2020 deadly virus ** AFFIRM ** lives 2 337 americans	january 1 2020 deadly virus ** AFFIRM ** lives 2 337 americans	937	2	january 1 2020 deadly virus	AFFIRM	lives 2 337 americans
1492	january 1 2020 deadly virus ** AFFIRM ** lives 2 337 americans	official ** AFFIRM ** outbreak ‘ controllable ’ yet infected	937	2	january 1 2020 deadly virus	AFFIRM	lives 2 337 americans
1493	japan ** AFFIRM ** 2nd case ncov-2019 novel coronavirus	japan ** AFFIRM ** 2nd case ncov-2019 novel coronavirus	999	4	japan	AFFIRM	2nd case ncov-2019 novel coronavirus
1494	japan ** AFFIRM ** 2nd case ncov-2019 novel coronavirus	japan ** AFFIRM ** first case pneumonia - like coronavirus	999	4	japan	AFFIRM	2nd case ncov-2019 novel coronavirus
1495	japan ** AFFIRM ** 2nd case ncov-2019 novel coronavirus	latest 444 cases pneumonia ** CAUSE-SMT ** novel coronavirus	999	4	japan	AFFIRM	2nd case ncov-2019 novel coronavirus
1496	japan ** AFFIRM ** 2nd case ncov-2019 novel coronavirus	pneumonia ** CAUSE-SMT ** novel coronavirus 2019-ncov	999	4	japan	AFFIRM	2nd case ncov-2019 novel coronavirus
1497	japan man 40s ** MEET ** japan wuhan	japan ** INFORM ** 2019-ncov man 30s japan travelled wuhan	244	3	japan man 40s	MEET	japan wuhan
1498	japan man 40s ** MEET ** japan wuhan	japan man 40s ** MEET ** japan wuhan	244	3	japan man 40s	MEET	japan wuhan
1499	japanese officials ** INFORM ** h	japanese officials ** INFORM ** h	418	1	japanese officials	INFORM	h
1500	jeffersonville daycare operator ** ACCUSE ** baby ’s de	jeffersonville daycare operator ** ACCUSE ** baby ’s de	1476	1	jeffersonville daycare operator	ACCUSE	baby ’s de
1501	jeffery epstein ** KILL ** himsel	jeffery epstein ** KILL ** himsel	1752	19	jeffery epstein	KILL	himsel
1502	journal ethics ** CONSIDER ** health professions	journal ethics ** CONSIDER ** health professions	1081	1	journal ethics	CONSIDER	health professions
1503	julie gerberding cdc director ** RECOGNIZE_ADMIT_IDENTIFY ** vaccines cause autism like symptoms	cdc director julie gerberding ** RECOGNIZE_ADMIT_IDENTIFY ** vaccines can cause autism - like symptoms - namely libey	1427	4	julie gerberding cdc director	RECOGNIZE_ADMIT_IDENTIFY	vaccines cause autism like symptoms
1504	julie gerberding cdc director ** RECOGNIZE_ADMIT_IDENTIFY ** vaccines cause autism like symptoms	julie gerberding cdc director ** RECOGNIZE_ADMIT_IDENTIFY ** vaccines cause autism like symptoms	1427	4	julie gerberding cdc director	RECOGNIZE_ADMIT_IDENTIFY	vaccines cause autism like symptoms
1505	just ** AFFIRM ** first case coronavirus united states resident traveling china hospital	just ** AFFIRM ** first case coronavirus united states resident traveling china hospital	872	1	just	AFFIRM	first case coronavirus united states resident traveling china hospital
1506	just fyi - person ** BELIEVE ** corona virus italy	just fyi - person ** BELIEVE ** corona virus italy	626	4	just fyi - person	BELIEVE	corona virus italy
1507	just the forbidden city ** PRECLUDE_FORBID_EXPEL ** public access	just the forbidden city ** PRECLUDE_FORBID_EXPEL ** public access	464	1	just the forbidden city	PRECLUDE_FORBID_EXPEL	public access
1508	kansas city ** ASSIGN-smt-to-smn ** many communities grieving aftermath gun	kansas city ** ASSIGN-smt-to-smn ** many communities grieving aftermath gun	1192	94	kansas city	ASSIGN-smt-to-smn	many communities grieving aftermath gun
1509	key lab special pathogens ** WORK ** shaky snake codon bias paper bio	key lab special pathogens ** WORK ** shaky snake codon bias paper bio	908	1	key lab special pathogens	WORK	shaky snake codon bias paper bio
1510	kids ** USE ** according cdc curiosity driving factor	kids ** USE ** according cdc curiosity driving factor	1193	1	kids	USE	according cdc curiosity driving factor
1511	kinda epidemic ** INCITE_INDUCE ** public stop paying attention trial super guilty guy	kinda epidemic ** INCITE_INDUCE ** public stop paying attention trial super guilty guy	1194	1	kinda epidemic	INCITE_INDUCE	public stop paying attention trial super guilty guy
